taxon	(Intercept)	Water.TreatmentAcetic	Water.TreatmentCitric
Bifidobacteriaceae	2.54019290726241e-223	0.951476164586292	0
Dietziaceae	1.53257293258253e-22	0.0860213682600876	5.3822529304403e-06
Eggerthellaceae	0.6797600533241	0.225461042717445	0.000921766999296695
Bacteroidaceae	8.02878415198145e-25	0.725855474125287	6.76635388741189e-07
Flavobacteriaceae	2.53417150015626e-26	0.423121665620166	4.2533537201186e-06
Gastranaerophilales	2.54019290726241e-223	0	0
Acholeplasmataceae	2.54019290726241e-223	0	0
Erysipelatoclostridiaceae	5.50285661685532e-58	0.96021290592745	7.5130774515882e-05
Clostridia_UCG-014	1.16769492665985e-132	0.96021290592745	0.0080739525780592
Anaerofustaceae	8.60474772827102e-39	0.313039380428273	0
Lachnospiraceae	2.36159033348645e-196	0.96021290592745	0.00436817334054974
[Eubacterium]_coprostanoligenes_group	4.42178284205592e-42	0.96021290592745	0.000767113988563979
Butyricicoccaceae	4.64689150036049e-21	0.984187248709546	6.19705938051313e-05
Oscillospiraceae	5.98875948794414e-33	0.942254553085203	0.00142050684944182
Ruminococcaceae	2.31797276297562e-223	0.96021290592745	0.00576608655164919
Peptococcaceae	2.54019290726241e-223	0	0
Devosiaceae	1.89733225330956e-08	0.96021290592745	0
Pasteurellaceae	2.51177457557956e-14	0	0.601982894170851
